Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
QV,Value of Agricultural Production,21,Brazil,152,Gross Production Value (constant 2004-2006 1000 I$),515,Apples,1961,1961,1000 Int. $,8442.209268,*,Unofficial figure
QV,Value of Agricultural Production,21,Brazil,152,Gross Production Value (constant 2004-2006 1000 I$),515,Apples,1962,1962,1000 Int. $,9557.8564,*,Unofficial figure
QV,Value of Agricultural Production,21,Brazil,152,Gross Production Value (constant 2004-2006 1000 I$),515,Apples,1963,1963,1000 Int. $,9828.944274,*,Unofficial figure
QV,Value of Agricultural Production,21,Brazil,152,Gross Production Value (constant 2004-2006 1000 I$),515,Apples,1964,1964,1000 Int. $,8948.014412,*,Unofficial figure
QV,Value of Agricultural Production,21,Brazil,152,Gross Production Value (constant 2004-2006 1000 I$),515,Apples,1965,1965,1000 Int. $,17079.804804,*,Unofficial figure
QV,Value of Agricultural Production,21,Brazil,152,Gross Production Value (constant 2004-2006 1000 I$),515,Apples,1966,1966,1000 Int. $,9963.430926,*,Unofficial figure
QV,Value of Agricultural Production,21,Brazil,152,Gross Production Value (constant 2004-2006 1000 I$),515,Apples,1967,1967,1000 Int. $,10481.92349,*,Unofficial figure
QV,Value of Agricultural Production,21,Brazil,152,Gross Production Value (constant 2004-2006 1000 I$),515,Apples,1968,1968,1000 Int. $,11025.36798,*,Unofficial figure
QV,Value of Agricultural Production,21,Brazil,152,Gross Production Value (constant 2004-2006 1000 I$),515,Apples,1969,1969,1000 Int. $,12206.989696,*,Unofficial figure
QV,Value of Agricultural Production,21,Brazil,152,Gross Production Value (constant 2004-2006 1000 I$),515,Apples,1970,1970,1000 Int. $,13046.8969,*,Unofficial figure
QV,Value of Agricultural Production,21,Brazil,152,Gross Production Value (constant 2004-2006 1000 I$),515,Apples,1971,1971,1000 Int. $,12670.926354,*,Unofficial figure
QV,Value of Agricultural Production,21,Brazil,152,Gross Production Value (constant 2004-2006 1000 I$),515,Apples,1972,1972,1000 Int. $,12982.613972,*,Unofficial figure
QV,Value of Agricultural Production,21,Brazil,152,Gross Production Value (constant 2004-2006 1000 I$),515,Apples,1973,1973,1000 Int. $,9416.18021,*,Unofficial figure
QV,Value of Agricultural Production,21,Brazil,152,Gross Production Value (constant 2004-2006 1000 I$),515,Apples,1974,1974,1000 Int. $,11562.46876,*,Unofficial figure
QV,Value of Agricultural Production,21,Brazil,152,Gross Production Value (constant 2004-2006 1000 I$),515,Apples,1975,1975,1000 Int. $,14460.275488,*,Unofficial figure
QV,Value of Agricultural Production,21,Brazil,152,Gross Production Value (constant 2004-2006 1000 I$),515,Apples,1976,1976,1000 Int. $,17909.562072,*,Unofficial figure
QV,Value of Agricultural Production,21,Brazil,152,Gross Production Value (constant 2004-2006 1000 I$),515,Apples,1977,1977,1000 Int. $,19506.90825,*,Unofficial figure
QV,Value of Agricultural Production,21,Brazil,152,Gross Production Value (constant 2004-2006 1000 I$),515,Apples,1978,1978,1000 Int. $,21889.182812,*,Unofficial figure
QV,Value of Agricultural Production,21,Brazil,152,Gross Production Value (constant 2004-2006 1000 I$),515,Apples,1979,1979,1000 Int. $,29222.934486,*,Unofficial figure
QV,Value of Agricultural Production,21,Brazil,152,Gross Production Value (constant 2004-2006 1000 I$),515,Apples,1980,1980,1000 Int. $,35117.932732,*,Unofficial figure
QV,Value of Agricultural Production,21,Brazil,152,Gross Production Value (constant 2004-2006 1000 I$),515,Apples,1981,1981,1000 Int. $,46310.351742,*,Unofficial figure
QV,Value of Agricultural Production,21,Brazil,152,Gross Production Value (constant 2004-2006 1000 I$),515,Apples,1982,1982,1000 Int. $,80773.613602,*,Unofficial figure
QV,Value of Agricultural Production,21,Brazil,152,Gross Production Value (constant 2004-2006 1000 I$),515,Apples,1983,1983,1000 Int. $,64934.21556,*,Unofficial figure
QV,Value of Agricultural Production,21,Brazil,152,Gross Production Value (constant 2004-2006 1000 I$),515,Apples,1984,1984,1000 Int. $,108169.982522,*,Unofficial figure
QV,Value of Agricultural Production,21,Brazil,152,Gross Production Value (constant 2004-2006 1000 I$),515,Apples,1985,1985,1000 Int. $,122073.703186,*,Unofficial figure
QV,Value of Agricultural Production,21,Brazil,152,Gross Production Value (constant 2004-2006 1000 I$),515,Apples,1986,1986,1000 Int. $,150474.069942,*,Unofficial figure
QV,Value of Agricultural Production,21,Brazil,152,Gross Production Value (constant 2004-2006 1000 I$),515,Apples,1987,1987,1000 Int. $,140946.66335,*,Unofficial figure
QV,Value of Agricultural Production,21,Brazil,152,Gross Production Value (constant 2004-2006 1000 I$),515,Apples,1988,1988,1000 Int. $,183095.118418,*,Unofficial figure
QV,Value of Agricultural Production,21,Brazil,152,Gross Production Value (constant 2004-2006 1000 I$),515,Apples,1989,1989,1000 Int. $,201848.39392,*,Unofficial figure
QV,Value of Agricultural Production,21,Brazil,152,Gross Production Value (constant 2004-2006 1000 I$),515,Apples,1990,1990,1000 Int. $,229860.10271,*,Unofficial figure
QV,Value of Agricultural Production,21,Brazil,152,Gross Production Value (constant 2004-2006 1000 I$),515,Apples,1991,1991,1000 Int. $,222835.078256,*,Unofficial figure
QV,Value of Agricultural Production,21,Brazil,152,Gross Production Value (constant 2004-2006 1000 I$),515,Apples,1992,1992,1000 Int. $,253681.156674,*,Unofficial figure
QV,Value of Agricultural Production,21,Brazil,152,Gross Production Value (constant 2004-2006 1000 I$),515,Apples,1993,1993,1000 Int. $,295517.50121,*,Unofficial figure
QV,Value of Agricultural Production,21,Brazil,152,Gross Production Value (constant 2004-2006 1000 I$),515,Apples,1994,1994,1000 Int. $,296012.31059,*,Unofficial figure
